,Date,Category,Category_id,Price,Weight,Indent,Parent,Parent_ID
71702,2014-12-15,Food purchased from stores,4,137.6,3.562091674033798e-16,2.0,Food,3.0
72002,2015-01-15,Food purchased from stores,4,139.7,3.562091674033798e-16,2.0,Food,3.0
72302,2015-02-15,Food purchased from stores,4,140.2,3.562091674033798e-16,2.0,Food,3.0
72602,2015-03-15,Food purchased from stores,4,140.2,3.562091674033798e-16,2.0,Food,3.0
72902,2015-04-15,Food purchased from stores,4,140,3.562091674033798e-16,2.0,Food,3.0
73202,2015-05-15,Food purchased from stores,4,141.8,3.562091674033798e-16,2.0,Food,3.0
73502,2015-06-15,Food purchased from stores,4,141.9,3.562091674033798e-16,2.0,Food,3.0
73802,2015-07-15,Food purchased from stores,4,141.8,3.562091674033798e-16,2.0,Food,3.0
74102,2015-08-15,Food purchased from stores,4,141.4,3.562091674033798e-16,2.0,Food,3.0
74402,2015-09-15,Food purchased from stores,4,140.6,3.562091674033798e-16,2.0,Food,3.0
74702,2015-10-15,Food purchased from stores,4,141.3,3.562091674033798e-16,2.0,Food,3.0
75002,2015-11-15,Food purchased from stores,4,142.2,3.562091674033798e-16,2.0,Food,3.0
75302,2015-12-15,Food purchased from stores,4,143.2,3.562091674033798e-16,2.0,Food,3.0
75602,2016-01-15,Food purchased from stores,4,146.1,3.562091674033798e-16,2.0,Food,3.0
75902,2016-02-15,Food purchased from stores,4,146.4,3.562091674033798e-16,2.0,Food,3.0
76202,2016-03-15,Food purchased from stores,4,145.8,3.562091674033798e-16,2.0,Food,3.0
76502,2016-04-15,Food purchased from stores,4,144.6,3.562091674033798e-16,2.0,Food,3.0
76802,2016-05-15,Food purchased from stores,4,143.8,3.562091674033798e-16,2.0,Food,3.0
77102,2016-06-15,Food purchased from stores,4,143.1,3.562091674033798e-16,2.0,Food,3.0
77402,2016-07-15,Food purchased from stores,4,143.4,3.562091674033798e-16,2.0,Food,3.0
77702,2016-08-15,Food purchased from stores,4,142,3.562091674033798e-16,2.0,Food,3.0
78002,2016-09-15,Food purchased from stores,4,139.3,3.562091674033798e-16,2.0,Food,3.0
78302,2016-10-15,Food purchased from stores,4,138.4,3.562091674033798e-16,2.0,Food,3.0
78602,2016-11-15,Food purchased from stores,4,139.4,3.562091674033798e-16,2.0,Food,3.0
78902,2016-12-15,Food purchased from stores,4,139.2,3.562091674033798e-16,2.0,Food,3.0
79202,2017-01-15,Food purchased from stores,4,140.3,3.562091674033798e-16,2.0,Food,3.0
79502,2017-02-15,Food purchased from stores,4,140.4,3.562091674033798e-16,2.0,Food,3.0
79802,2017-03-15,Food purchased from stores,4,140.6,3.562091674033798e-16,2.0,Food,3.0
80102,2017-04-15,Food purchased from stores,4,140.9,3.562091674033798e-16,2.0,Food,3.0
80402,2017-05-15,Food purchased from stores,4,142.1,3.562091674033798e-16,2.0,Food,3.0
80702,2017-06-15,Food purchased from stores,4,142.6,3.562091674033798e-16,2.0,Food,3.0
81002,2017-07-15,Food purchased from stores,4,143.2,3.562091674033798e-16,2.0,Food,3.0
81302,2017-08-15,Food purchased from stores,4,142.4,3.562091674033798e-16,2.0,Food,3.0
81602,2017-09-15,Food purchased from stores,4,140.5,3.562091674033798e-16,2.0,Food,3.0
81902,2017-10-15,Food purchased from stores,4,139.2,3.562091674033798e-16,2.0,Food,3.0
82202,2017-11-15,Food purchased from stores,4,140.7,3.562091674033798e-16,2.0,Food,3.0
82502,2017-12-15,Food purchased from stores,4,141.3,3.562091674033798e-16,2.0,Food,3.0
82802,2018-01-15,Food purchased from stores,4,142.6,3.562091674033798e-16,2.0,Food,3.0
83102,2018-02-15,Food purchased from stores,4,142.3,3.562091674033798e-16,2.0,Food,3.0
83402,2018-03-15,Food purchased from stores,4,141.3,3.562091674033798e-16,2.0,Food,3.0
83702,2018-04-15,Food purchased from stores,4,141.9,3.562091674033798e-16,2.0,Food,3.0
84002,2018-05-15,Food purchased from stores,4,141.4,3.562091674033798e-16,2.0,Food,3.0
84302,2018-06-15,Food purchased from stores,4,142.7,3.562091674033798e-16,2.0,Food,3.0
84602,2018-07-15,Food purchased from stores,4,143.3,3.562091674033798e-16,2.0,Food,3.0
84902,2018-08-15,Food purchased from stores,4,142.8,3.562091674033798e-16,2.0,Food,3.0
85202,2018-09-15,Food purchased from stores,4,141.4,3.562091674033798e-16,2.0,Food,3.0
85502,2018-10-15,Food purchased from stores,4,140.7,3.562091674033798e-16,2.0,Food,3.0
85802,2018-11-15,Food purchased from stores,4,142.7,3.562091674033798e-16,2.0,Food,3.0
86102,2018-12-15,Food purchased from stores,4,144.8,3.562091674033798e-16,2.0,Food,3.0
